text,category
החזר הלוואה בוצע בהצלחה,פיננסי
לחשבון שלך לא הוזן סך מינימלי לצורך ביצוע פעולה.,פיננסי
"נכון להיום, יתרת האשראי שלך עומדת על",פיננסי
שלחה אליך קבלה על העסקה שביצעת,פיננסי
ההפקדה בוצעה בהצלחה,פיננסי
"לנוחיותך, אנו מציעים שירות חיבור לחשבון בבנק.",פיננסי
אנו מעדכנים אותך על מצב החשבון שלך,פיננסי
החשבון שלך נמצא בעיקול,פיננסי
"החוב שלך לא שולם בזמן, אנא עדכן את פרטי התשלום",פיננסי
העסקה בוצעה בהצלחה לאחר בדיקה,פיננסי
הוראתך נרשמה בהצלחה,פיננסי
שם המעביר,פיננסי
לביצוע העברה נוספת,פיננסי
למעקב וצפייה בסטאטוס הוראתך צפה בפירוט/ביטול הוראות,פיננסי
אישור הלקוח,פיננסי
אישור הבנק,פיננסי
אתר המשכנתא החדש של בנק,פיננסי
יועצי המשכנתאות שלנו,פיננסי
שוק ההון,פיננסי
מסחר וכלים בקרנות נאמנות,פיננסי
אישורי מס לשנת,פיננסי
עדכון מסגרת אשראי,פיננסי
לחדש את הביטוח,תחבורה
ביטוח רכב,תחבורה
מספר רכב עדכני,תחבורה
התשלום עבור רישיון רכב בוצע בהצלחה,תחבורה
אגרת רישיון רכב משרד התחבורה,תחבורה
קובץ של רישיון הרכב המשולחם מצורף לדואר אלקטרוני זה,תחבורה
באפשרותך לגשת למכון הרישוי ולבצע מבחן כשירות תנועה שנתי ,תחבורה
למבחם כשירות התנועה טסט יש להגיע עם הרישיון שבידכם לאחר ששולחם או עם הדפסת הרישיון המשולם המתקבל בתום הליך התשלום,תחבורה
יש להגיע עם תעודת זהות של בערב הרכב וייפוי כוח ועם תעודת ביטוח חובה בתוקף,תחבורה
אגרת חידוש רישיון הרכב,תחבורה
בהתאם לתקנות התעבורה אין חובה לשאית רישיון רכב ורישיון נהיגה בעת הנסיעה,תחבורה
בתוקף עד,תחבורה
נסיעה,תחבורה
חלה חובה לשאת תעודה מזהה רשמית ומסמכים נוספים,תחבורה
מיד לאחר התשלום ניתן לגשת לבצע מבחן כשירות תנועה,תחבורה
טסט שנתי,תחבורה
רישיון הרכב תקף רק לאחר התשלום האגרה ועמידה במבחן כשירות תנועה,תחבורה
תעודת ביטוח חובה ,תחבורה
שם בעל הפוליסה,תחבורה
מספר הרישוי של הרכב,תחבורה
מועד תחילת הביטוח,תחבורה
המידע המופיע בתעודה זו הינו מידע שנמסר לנו על ידך בעת עריכת הביטוח,תחבורה
ברכב קיימת מערכת התרעה על אי שמירת מרחק,תחבורה
ברכב קיימת מערכת התרעה על סטייה מהנתיב,תחבורה
גיל הנהג הצעיר ביותר הצפוי לנהוג ברכב,תחבורה
מין האדם הצעיר ביותר הצפוי לנהוג ברכב הוא,תחבורה
שנת קבלת רישיון הנהיגה לרכב מסוג זה בישראל של הנהג הצעיר ביותר הצפוי לנהוג,תחבורה
מספר התאונות שהביאו לתביעות בביטוח רכב חובה בשלוש שנים האחרונות של כל הנהגים הצפויים לנהוג ברכב,תחבורה
מספר פסילות רישיון בשלוש השנים האחרונות של כל הנהגים הצפויים לנהוג ברכב הוא,תחבורה
מטרות השימות המותרות,תחבורה
בני האדם המורשים לנהוג ברכב ,תחבורה
כינוי מסחרי,תחבורה
"הספק כ""ס",תחבורה
רמת גימור,תחבורה
הוראת רישום,תחבורה
קוד,תחבורה
קבוצת רישוי,תחבורה
תוצר,תחבורה
דגם,תחבורה
בעלים נוספים,תחבורה
דרגת זיהום אוויר ,תחבורה
מקומות ישיבה למעט הנהג,תחבורה
תאריך רישום,תחבורה
רישום מקורי,תחבורה
תאריך הדפסה,תחבורה
תאריך בעלות,תחבורה
בעלים קודמים,תחבורה
מהם ליד הנהג,תחבורה
תוצר מנוע,תחבורה
דגם מנוע,תחבורה
מנוע,תחבורה
מספר מנוע,תחבורה
צבע,תחבורה
משקל עצמי,תחבורה
וו גרירה,תחבורה
צבע,תחבורה
הנעה,תחבורה
רישיון נהיגה מתאים,תחבורה
"בקשה לביטול דו""ח חניה",תחבורה
פניה לאגף שירותי חנייה,תחבורה
מעיון ברישומי הפקח וצילומי הרכב ,תחבורה
עולה כי הרכב הוחנה בתחום צומת ובניגוד להוראות סעיף,תחבורה
תו נכה,תחבורה
תג נכה ,תחבורה
תו חנייה ,תחבורה
תקנות התעבורה,תחבורה
כביש שש ,תחבורה
כביש 6,תחבורה
ניתן לשלם את הקנס עד ,תחבורה
"מצ""ב שובר לתשלום הקנס ",תחבורה
פגישתם של שני כבישים,תחבורה
קבלה לתשלום קנסות חניה,תחבורה
קבלה לתיקון הרכב,תחבורה
מוסך רשמי,תחבורה
כלמוביל ירושלים הוא מוסך מורשה ובהסדר איתנו ליונדאי,תחבורה
שגריר,תחבורה
הרכב עשה תאונה,תחבורה
המנוע של הרכב שלי לא עובד טוב,תחבורה
החלפתי את הגלגלים,תחבורה
גלגלים,תחבורה
מנוע,תחבורה
הגה,תחבורה
החניון היה מלא אז חניתי ברחוב,תחבורה
המצבר של הרכב התרוקן אני צריך להחליפו,תחבורה
התחלתי להשתמש במערכת ניווט חדשה ברכב,תחבורה
פנגו,תחבורה
וייז,תחבורה
אני צריך לשדרג את מערכת המולטימדיה ברכב,תחבורה
ביצעתי החלפת שמן לרכב היום,תחבורה
הרכב הוא בליסינג,תחבורה
ליסינג,תחבורה
יש לי ביטוח מקיף לרכב,תחבורה
אני מחפש רכב חסכוני בדלק,תחבורה
הייתה לי בעיה במרכת ההגה של הרכב,תחבורה
הרכב שלי חנה בחניון מרכזי,תחבורה
הגעתי למוסך כדי לתקן את הרכב,תחבורה
צריך להחליף את הצמיגים לרכב,תחבורה
הרכב שלי לא מניע כנראה שהמצבר גמר,תחבורה
אני מחפש רכב לשנה החדשה,תחבורה
חידוש רישיון רכב,תחבורה
סוג הדלק של הרכב הוא 95,תחבורה
המערכת של GPS ברכב לא מדויקת,תחבורה
הרכב עבר תאונה,תחבורה
יש לי חיישני חנייה ברכב,תחבורה
התחלתי להשתמש ברכב חשמלי,תחבורה
חידת ההנעה החשמלית,תחבורה
לבירורים ניתן לפנות למוקד מכבי ,רפואה
פירוט תוכניות של בני משפחה וחשבונות לחיוב,רפואה
מכבי כסף,רפואה
מכבי זהב,רפואה
מכבי שלי ,רפואה
סיעודי כסף,רפואה
סיעודי זהב,רפואה
מכבי סיעודי,רפואה
קרן מכבי,רפואה
מספר חשבון בנק לחיוב,רפואה
כרטיס אשראי לחיוב,רפואה
דמי חבר לחודש אחרון ,רפואה
דף מידע לחברי מכבי על תשלומים וזיכויים,רפואה
לשירותי בריאות שירותי בריאות נוספים ביטוח סעודי חברת מנורה,רפואה
חטיבת הבריאות ועמותת קרן מכבי,רפואה
מכבי בריאות זה הכל,רפואה
דמי חבר ,רפואה
השתתפות עצמית רבעונית,רפואה
חיובים וזיכויים שונים,רפואה
סך ל - 5  לחודש,רפואה
סך ל - 10 לחודש,רפואה
דמי חבר משולמים בכל -5 או - 10 לחודש עבור אותו חודש,רפואה
השתתפויות עצמיות משולמות ב,רפואה
עוד לא במכבי שלי,רפואה
התוכנית שדואגת לך לכיסוי בריאות הנרחב ביותר ,רפואה
פירוט תשלומים וזיכויים,רפואה
קרן חבר ,רפואה
"סה""כ דמי חבר",רפואה
"סה""כ לחודש",רפואה
שם ,רפואה
פרטים,רפואה
תאריך,רפואה
חיוב,רפואה
זיכוי,רפואה
לקבלת פירוט לרכישת התרופות ניתן לפנות לאתר מכבי,רפואה
תרופות שנרכשו לאחרונה,רפואה
מרכזים הרפואיים של מכבי,רפואה
בטבלת פירוט תוכניות מפורטות תוכניות הביטוח של בני המשפחה ופירוט דמי החבר לחודש האחרון,רפואה
"בטבלת סיכום חודשי של זיכויים וחיובים מופיע פירוט סה""כ התשלומים שנגבו על פי חלוקה לסוג החיוב",רפואה
בטבלת פירוט תשלומים וזיכויים מפורט החודש עבורו נגבו דמי החבר והשתתפויות עצמיות בגין ביקורים אצל רופאים ורכישת תרופות,רפואה
"""ללא חיוב"" - השתתפויות עצמיות בגין ביקורים מעבר לתקרה המשפחתית שעבורה לא חויב חשבון הבנק / כרטיס האשראי ",רפואה
השתתפויות עצמיות במזומן - השתתפויות ששלומו במזומן ישירות לרופא ולא ניגבו מחשבון הבנק/ מכרטיס האשראי ,רפואה
אם במשך 30 יום מתאריך קבלת הודעה זו לא תתקבלה מכם הערות בכתב לגביה יחשב הדבר לאישור שלכם לנכונותה,רפואה
אנא הקפד לצום 8 שעות לפני הבדיקה שלך,רפואה
"הדו""ח הרפואי שלך זמין כעת לצפייה באזור האישי באתר",רפואה
החיסון נגד שפעת זמין כעת במרפאה שלך,רפואה
הרופא ביקש לעדכן אותך כי,רפואה
ניתן לחדש את המרשם שלך לתרופות דרך האזור האישי באתר,רפואה
הזמנתך לבדיקת דם התקבלה,רפואה
תוצאות בדיקות הדם שלך מוכנות לצפייה באפליקציה,רפואה
שירותי בריאות כללית,רפואה
מכבי שירותי בריאות,רפואה
לאומית שירותי בריאות,רפואה
קופת חולים כללית מושלם,רפואה
כללית מושלם זהב,רפואה
כללית מושלם פלטינום,רפואה
כללית מושלם ילדים,רפואה
כללית מושלם הריון ולידה,רפואה
מאוחדת עדיף,רפואה
מאוחדת שיא,רפואה
מאוחת סיעודי,רפואה
לאומית כסף,רפואה
לאומית זהב,רפואה
לאומית כסף לילדים,רפואה
בקשתך מיום אושרה. המרשם ממתין לך בבית המרקחת,רפואה
באפשרותך להזמין תור לבית המרקחת,רפואה
לבדיקת מלאי בבית המרקחת,רפואה
בקשתך לאישור תרופה טופלה. ,רפואה
ניתן לצפות במרשמים דרך אתר האונליין או באפליקצייה,רפואה
ניתן גם להזמין תרופות ומוצרים נוספים ולקבל אותם במשלוח עד הבית או באיסוף עצמי,רפואה
רשית הישובים בהם קיים השירות מתעדכנת מעת לעת,רפואה
לקוחות כללית,רפואה
לקוחות מאוחדת,רפואה
לקוחות מכבי,רפואה
לקוחות לאומית,רפואה
כללית איתכם בכל מצב ,רפואה
שעות הפעילות של רופאי משפחה און ליין,רפואה
השירות זמין עבורכם החל מהשעה,רפואה
תפתח סדנה לגמילה מעישון במרפאת ,רפואה
לפרטים והרשמה במשרד המרפאה בטלפון,רפואה
שירותי המרפאה ,רפואה
נקבע לך תור במרפאת,רפואה
ביטול או שינוי התור מראש יסייע למטופלים אחרים לקבל טיפול רפואי בזמן,רפואה
נקבע לך תור לאורתופדיה ,רפואה
בקשתך להתייעצות עם המשרד מיום טופלה,רפואה
בוטל התור ,רפואה
לבקשתך הופק/ו טופס/י 17 (טופס התחייבות),רפואה
קיבלת תגובה מהמרפאה לפנייה שלך,רפואה
יש לך הודעה חדשה מהרופא/ה שלך,רפואה
מרכז רפואי רבקה זיו,רפואה
מרכז רפואי פוריה,רפואה
מרכז רפואי העמק,רפואה
מרכז רפואי גליל,רפואה
"מרכז רפואי רמב""ם",רפואה
בית חולים,רפואה
בית חולים בני ציון,רפואה
מרכז רפואי כרמל,רפואה
מרכז רפואי שיבא,רפואה
מרכז רפואי תל השומר,רפואה
מרכז רפואי רבין,רפואה
בית חולים השרון,רפואה
מרכז רפואי איכילוב,רפואה
בית חולים וולפסון,רפואה
בית חולים מאיר,רפואה
הדסה עין כרם,רפואה
הדסה הר הצופים,רפואה
מרכז רפואי שערי צדק,רפואה
מרכז רפואי משגב לדך,רפואה
מרכז רפואי סורוקה,רפואה
בית חולים ברזילי,רפואה
בית חולים יוספטל,רפואה
מרכז לבריאות הנפש שער מנשה,רפואה
מרכז לבריאות הנפש באר יעקב,רפואה
מרכז לבריאות הנפש מזרע,רפואה
מרכז לבריאות הנפשה גהה,רפואה
בית חולים אברבנאל,רפואה
בית חולים לוינשטיין שיקום ונפגעי ראש,רפואה
אסותא רמת החייל,רפואה
מרכז רפואי הרצליה מדיקל סנטר,רפואה
רפואה פנימית כללית,רפואה
קרדיולוגיה מחלות לב,רפואה
נפרולוגיה מחלות כליות ,רפואה
גסטרואנטרולוגיה,רפואה
אנדוקרינולוגיה,רפואה
המטולוגיה,רפואה
אימונולוגיה קלינית ואלרגיה,רפואה
ריאומטולוגיה (מחלות מפרקים),רפואה
רפואת ריאות,רפואה
זיהומולוגיה,רפואה
כירורגיה כללית,רפואה
כירורגיה אורטופדית,רפואה
כירורגיה פלסטית ושחזורית,רפואה
 כירורגיה נוירוכירורגית (מוח ועצבים),רפואה
כירורגיה חזה ולב,רפואה
כירורגיה כלי דם,רפואה
כירורגיה ילדים,רפואה
כירורגיה אורולוגית,רפואה
מחלקות נשים וילדים,רפואה
גניקולוגיה,רפואה
רפואת פוריות והפריה חוץ גופית ,רפואה
רפואת היריון ולידה,רפואה
רפואת ילדים כללית,רפואה
ניאונטולוגיה,רפואה
כירורגיה ילדים,רפואה
אנדוקרינולוגיה ילדים,רפואה
קרדיולוגיה ילדים,רפואה
נפרולוגיה ילדים,רפואה
מחלקות אונקולוגיה וטיפול במחלות קשות,רפואה
אונקולוגיה (מחלות סרטן),רפואה
המטו-אונקולוגיה (סרטן הדם),רפואה
טיפול פליאטיבי (תמיכתי לחולים סופניים),רפואה
רדיולוגיה פולשנית (אבחון וטיפול בהדמיה),רפואה
מחלקות שיקום ובריאות הנפש,רפואה
שיקום גריאטרי (לגיל השלישי),רפואה
שיקום אורטופדי,רפואה
שיקום נוירולוגי (לנפגעי ראש ושבץ),רפואה
פסיכיאטריה כללית,רפואה
פסיכיאטריה ילדים ונוער,רפואה
פסיכיאטריה משפטית,רפואה
חדר מיון כללי (טראומה),רפואה
מיון ילדים,רפואה
מיון יולדות,רפואה
יחידת טראומה (רפואת חרום),רפואה
טיפול נמרץ כללי,רפואה
טיפול נמרץ לב,רפואה
טיפול נמרץ ילדים,רפואה
טיפול נמרץ יילודים (פגים),רפואה
טיפול נמרץ כירורגי,רפואה
"רדיולוגיה כללית (CT, MRI)",רפואה
אולטרסאונד,רפואה
מכון ממוגרפיה,רפואה
מכון רנטגן,רפואה
מכון דימות גרעינית (PET-CT),רפואה
"אף, אוזן, גרון",רפואה
עיניים,רפואה
רפואת שיניים,רפואה
עור ומחלות מין (דרמטולוגיה),רפואה
נוירולוגיה (מחלות עצבים),רפואה
אימונולוגיה קלינית (מחלות חיסון),רפואה
רפואה גריאטרית,רפואה
מעבדה רפואית כללית,רפואה
מעבדה גנטית,רפואה
מכון פתולוגי,רפואה
מכון פיזיותרפיה,רפואה
מכון דיאליזה,רפואה
מכון תזונה ודיאטה,רפואה
ניתוח קטרקט,רפואה
ניתוח להסרת עדשת עין עכורה והחלפתה בעדשה מלאכותית,רפואה
טיפולי דיאליזה,רפואה
טיפול לניקוי רעלים מהדם עבור חולי אי ספיקת כליות.,רפואה
כוללים החלפת מפרקים שנפגעו עקב דלקות פרקים או שחיקה,רפואה
ניתוחי ברכיים וירכיים,רפואה
בדיקות קולונוסקופיה וגסטרוסקופיה,רפואה
בדיקות לגילוי מוקדם של סרטן המעי הגס או בעיות אחרות במערכת העיכול,רפואה
טיפולי כימותרפיה,רפואה
טיפולים בסרטן באמצעות כימיקלים המיועדים להשמדת תאים סרטניים,רפואה
טיפולי פיזיותרפיה ושיקום,רפואה
"טיפולים להתאוששות מניתוחים, פציעות או שבץ",רפואה
טיפולי שיניים ושיקום פה,רפואה
"טיפולי סתימות, עקירות, שתלים ואורתודונטיה",רפואה
ניתוחי לב וצנתורים,רפואה
"כוללים צנתור לב, תיקון עורקים חסומים או התקנת קוצב לב",רפואה
טיפולי אורתופדיה לא ניתוחיים,רפואה
"כוללים הזרקת סטרואידים, טיפול בגלי הלם או שימוש בעזרים רפואיים",רפואה
ניתוחי כריתת רחם ושחלות,רפואה
"נעשים עקב גידולים, דימומים בלתי נשלטים או בעיות אחרות במערכת הרבייה הנשית",רפואה
להזמין תור חדש,רפואה
לשלוח בקשה לרופא או למרפאה,רפואה
לצפות בתצאת בדיקות ,רפואה
תורים עתידיים,רפואה
המלצות רפואיות אישיות,רפואה
תיק רפואי אישי ,רפואה
בתי חולים,רפואה
רפואה מרחוק,רפואה
תוצאות בדיקת מעבדה,רפואה
הפניות,רפואה
האבחנות והרגישויות שלך ,רפואה
דוח חיובים חודשי,רפואה
החזרי מושלם ,רפואה
אישורי מחלה,רפואה
סיכומים מבתי חולים,רפואה
המלצות רפואיות אישיות,רפואה
אישורי מחלה וסיכומי מידע רפואי ,רפואה
אישורים מיוחדים לתרופות,רפואה
סיכומי ביקור רפואה יועצת,רפואה
מומלץ להתייעץ עם הרופא או הרופאה המטפלים על תוצאות הבדיקה,רפואה
טווח הנורמה שמוצג ליד כל בדיקה מתאים לבוגרים בריאים ,רפואה
טווח הנורמה האישי לחולים כרוניים נקבע יחד עם הרופא המטפל או הרופאה המטפלת בהתאם לנתונים האישיים ,רפואה
אפשר לקבל את התוצאות במרפאה ,רפואה
מספר המרשם,רפואה
תוקף ההפניה שלך עומד לפוג,רפואה
קיבלת הפנייה חדשה,רפואה
שם המבוטח,רפואה
הצגת נתוני ביקורים,רפואה
הצגת נתוני בדיקות מעבדה ,רפואה
הצגת נתוני בדיקות מכונים ,רפואה
הצגת נתוני טיפולי אחיות,רפואה
הצגת נתוני בדיקות אשפוזים ,רפואה
הצגת נתוני בדיקות אישורים,רפואה
הצגת נתוני בדיקות הפניות,רפואה
הפנייה,רפואה
ביקורים אצל רופא,רפואה
תאריך ביקור,רפואה
שעת ביקור,רפואה
רופא מדווח,רפואה
תחום עיסוק הרופא ,רפואה
מרפאת מאוחדת,רפואה
מרפאת כללית,רפואה
מרפאת מכבי,רפואה
טרם,רפואה
מחלות זיהומיות,רפואה
רפואה כללית,רפואה
רפואת ילדים כללית,רפואה
סיבת פניה - מחלה ,רפואה
ביקור ראשון עם כרטיס,רפואה
בדיקה גופנית,רפואה
אבחנות,רפואה
מעבדה,רפואה
תרופות ,רפואה
סיבת ביקור,רפואה
כאבים למפרקים לסירוגין ,רפואה
ללא טיפול קבוע,רפואה
שורש כף היד,רפואה
דלקות עיניים,רפואה
ללא אירועי כאבי בטן,רפואה
ללא תפיחות במרפק,רפואה
שיחה טלפונית עם המטופל,רפואה
צריך בדיקות דם עדכניות,רפואה
תדפיס תיק מבוטח ,רפואה
מסמך זה כולל מידע אישי רגיש ,רפואה
לציין בבדיקות דם ,רפואה
אין חלבונים בשתן,רפואה
חלבונים בשתן,רפואה
לא ביצע בדיקות דם ושתן,רפואה
דיון והמלצות,רפואה
המלצתי לעלות לעוד כדור,רפואה
ללא אפטות בגניטליה,רפואה
ללא שילשולים לפעמים יש צואה רקה,רפואה
ללא כאב גב,רפואה
כאב גב,רפואה
שלשולים,רפואה
צואה ,רפואה
טווח תנועות של מפרקים,רפואה
כאבי ראש,רפואה
מיגרנות,רפואה
סחרחורות,רפואה
דלקות יובש אדמומיות,רפואה
קשיי נשימה ,רפואה
נזלת,רפואה
קוצר נשימה,רפואה
שיעול ממושך,רפואה
שיעול יבש,רפואה
כאבי שרירים,רפואה
פריצות דיסק,רפואה
כאבי עמוד שידרה,רפואה
עמוד שידרה,רפואה
כאבים  ,רפואה
כאבים בפרקים,רפואה
חולשה,רפואה
נפיחות,רפואה
צריבה במתן שתן,רפואה
שברים,רפואה
שבר ביד,רפואה
